ID_Risco,Categoria_Risco,Subcategoria,Descricao_Risco,Probabilidade,Impacto,Nivel_Risco,Controles_Existentes,Eficacia_Controles,Probabilidade_Residual,Impacto_Residual,Nivel_Risco_Residual,Responsavel,Plano_Acao,Prazo,Status_Plano
RISK-001,Resposta,Tempo de resposta inadequado,Risco de tempo de resposta inadequado na operação de armazenagem de alto valor,3,4,Alto,Controle para mitigação de tempo de resposta inadequado,36,2,3,Médio,Gerente de Segurança,Implementar melhorias no controle de tempo de resposta inadequado,2025-06-26,Concluído
RISK-002,Rastreabilidade,Registro incorreto,Risco de registro incorreto na operação de recebimento,4,1,Baixo,Controle para mitigação de registro incorreto,42,2,1,Baixo,Supervisor de Operações,Implementar melhorias no controle de registro incorreto,2025-06-12,Em Andamento
RISK-003,Rastreabilidade,Registro incorreto,Risco de registro incorreto na operação de área externa,4,5,Extremo,Controle para mitigação de registro incorreto,64,1,3,Baixo,Analista de Risco,Implementar melhorias no controle de registro incorreto,2025-06-24,Em Andamento
RISK-004,Segurança Física,Violação de embalagem,Risco de violação de embalagem na operação de transporte interno,4,4,Alto,Controle para mitigação de violação de embalagem,64,1,3,Baixo,Coordenador de TI,Implementar melhorias no controle de violação de embalagem,2025-09-07,Em Andamento
RISK-005,Segurança Física,Furto externo,Risco de furto externo na operação de transporte interno,1,2,Baixo,Controle para mitigação de furto externo,43,1,2,Baixo,Líder de Equipe,Implementar melhorias no controle de furto externo,2025-09-15,Atrasado
RISK-006,Operacional,Erro de expedição,Risco de erro de expedição na operação de transporte interno,4,3,Alto,Controle para mitigação de erro de expedição,33,3,3,Médio,Coordenador de TI,Implementar melhorias no controle de erro de expedição,2025-07-04,Não Iniciado
RISK-007,Resposta,Procedimento de contingência ineficaz,Risco de procedimento de contingência ineficaz na operação de recebimento,1,1,Baixo,Controle para mitigação de procedimento de contingência ineficaz,63,1,1,Baixo,Diretor de Logística,Implementar melhorias no controle de procedimento de contingência ineficaz,2025-08-20,Cancelado
RISK-008,Operacional,Armazenamento inadequado,Risco de armazenamento inadequado na operação de separação,5,5,Extremo,Controle para mitigação de armazenamento inadequado,42,3,4,Alto,Coordenador de TI,Implementar melhorias no controle de armazenamento inadequado,2025-09-19,Concluído
RISK-009,Resposta,Falha em sistema de alerta,Risco de falha em sistema de alerta na operação de armazenagem de alto valor,5,5,Extremo,Controle para mitigação de falha em sistema de alerta,36,3,4,Alto,Líder de Equipe,Implementar melhorias no controle de falha em sistema de alerta,2025-06-03,Atrasado
RISK-010,Resposta,Falha em sistema de alerta,Risco de falha em sistema de alerta na operação de área externa,1,4,Baixo,Controle para mitigação de falha em sistema de alerta,71,1,3,Baixo,Analista de Risco,Implementar melhorias no controle de falha em sistema de alerta,2025-08-01,Não Iniciado
RISK-011,Operacional,Erro de expedição,Risco de erro de expedição na operação de transporte interno,4,4,Alto,Controle para mitigação de erro de expedição,60,2,3,Médio,Coordenador de TI,Implementar melhorias no controle de erro de expedição,2025-06-21,Cancelado
RISK-012,Resposta,Detecção tardia,Risco de detecção tardia na operação de transporte interno,4,4,Alto,Controle para mitigação de detecção tardia,70,1,3,Baixo,Diretor de Logística,Implementar melhorias no controle de detecção tardia,2025-07-01,Não Iniciado
RISK-013,Segurança Física,Violação de embalagem,Risco de violação de embalagem na operação de expedição,4,1,Baixo,Controle para mitigação de violação de embalagem,30,3,1,Baixo,Líder de Equipe,Implementar melhorias no controle de violação de embalagem,2025-06-24,Cancelado
RISK-014,Operacional,Dano na movimentação,Risco de dano na movimentação na operação de transporte interno,3,3,Médio,Controle para mitigação de dano na movimentação,36,2,2,Baixo,Analista de Risco,Implementar melhorias no controle de dano na movimentação,2025-07-28,Cancelado
RISK-015,Resposta,Tempo de resposta inadequado,Risco de tempo de resposta inadequado na operação de recebimento,4,1,Baixo,Controle para mitigação de tempo de resposta inadequado,42,2,1,Baixo,Analista de Risco,Implementar melhorias no controle de tempo de resposta inadequado,2025-07-27,Concluído
RISK-016,Rastreabilidade,Sincronização inadequada,Risco de sincronização inadequada na operação de armazenagem de alto valor,5,3,Alto,Controle para mitigação de sincronização inadequada,43,3,2,Médio,Coordenador de TI,Implementar melhorias no controle de sincronização inadequada,2025-06-12,Em Andamento
RISK-017,Resposta,Detecção tardia,Risco de detecção tardia na operação de armazenagem geral,3,5,Alto,Controle para mitigação de detecção tardia,55,1,4,Baixo,Coordenador de TI,Implementar melhorias no controle de detecção tardia,2025-07-19,Em Andamento
RISK-018,Resposta,Falha em sistema de alerta,Risco de falha em sistema de alerta na operação de armazenagem geral,3,1,Baixo,Controle para mitigação de falha em sistema de alerta,83,1,1,Baixo,Coordenador de TI,Implementar melhorias no controle de falha em sistema de alerta,2025-06-12,Atrasado
RISK-019,Operacional,Dano na movimentação,Risco de dano na movimentação na operação de docas,1,5,Médio,Controle para mitigação de dano na movimentação,36,1,4,Baixo,Líder de Equipe,Implementar melhorias no controle de dano na movimentação,2025-10-20,Atrasado
RISK-020,Operacional,Erro de expedição,Risco de erro de expedição na operação de área externa,2,2,Baixo,Controle para mitigação de erro de expedição,43,1,2,Baixo,Líder de Equipe,Implementar melhorias no controle de erro de expedição,2025-09-08,Atrasado
RISK-021,Resposta,Falha de comunicação,Risco de falha de comunicação na operação de expedição,2,3,Médio,Controle para mitigação de falha de comunicação,80,1,2,Baixo,Coordenador de TI,Implementar melhorias no controle de falha de comunicação,2025-08-27,Em Andamento
RISK-022,Operacional,Dano na movimentação,Risco de dano na movimentação na operação de área externa,5,5,Extremo,Controle para mitigação de dano na movimentação,68,2,3,Médio,Diretor de Logística,Implementar melhorias no controle de dano na movimentação,2025-10-19,Cancelado
RISK-023,Operacional,Divergência de inventário,Risco de divergência de inventário na operação de armazenagem de alto valor,2,5,Médio,Controle para mitigação de divergência de inventário,67,1,3,Baixo,Diretor de Logística,Implementar melhorias no controle de divergência de inventário,2025-08-28,Em Andamento
RISK-024,Rastreabilidade,Perda de rastreamento,Risco de perda de rastreamento na operação de docas,3,5,Alto,Controle para mitigação de perda de rastreamento,91,1,3,Baixo,Diretor de Logística,Implementar melhorias no controle de perda de rastreamento,2025-10-28,Cancelado
RISK-025,Rastreabilidade,Falha em equipamento RFID,Risco de falha em equipamento rfid na operação de docas,1,5,Médio,Controle para mitigação de falha em equipamento rfid,43,1,4,Baixo,Supervisor de Operações,Implementar melhorias no controle de falha em equipamento rfid,2025-06-07,Não Iniciado
RISK-026,Segurança Física,Furto externo,Risco de furto externo na operação de armazenagem de alto valor,3,2,Médio,Controle para mitigação de furto externo,66,1,1,Baixo,Gerente de Segurança,Implementar melhorias no controle de furto externo,2025-08-04,Concluído
RISK-027,Operacional,Erro de expedição,Risco de erro de expedição na operação de separação,1,3,Baixo,Controle para mitigação de erro de expedição,87,1,2,Baixo,Diretor de Logística,Implementar melhorias no controle de erro de expedição,2025-06-27,Cancelado
RISK-028,Resposta,Falha em sistema de alerta,Risco de falha em sistema de alerta na operação de docas,5,3,Alto,Controle para mitigação de falha em sistema de alerta,36,3,2,Médio,Coordenador de TI,Implementar melhorias no controle de falha em sistema de alerta,2025-09-06,Concluído
RISK-029,Segurança Física,Furto interno,Risco de furto interno na operação de área externa,3,2,Médio,Controle para mitigação de furto interno,86,1,1,Baixo,Líder de Equipe,Implementar melhorias no controle de furto interno,2025-07-28,Cancelado
RISK-030,Operacional,Divergência de inventário,Risco de divergência de inventário na operação de armazenagem de alto valor,3,4,Alto,Controle para mitigação de divergência de inventário,52,1,3,Baixo,Supervisor de Operações,Implementar melhorias no controle de divergência de inventário,2025-06-20,Cancelado
RISK-031,Segurança Física,Violação de embalagem,Risco de violação de embalagem na operação de expedição,1,4,Baixo,Controle para mitigação de violação de embalagem,65,1,3,Baixo,Supervisor de Operações,Implementar melhorias no controle de violação de embalagem,2025-10-21,Em Andamento
RISK-032,Rastreabilidade,Perda de rastreamento,Risco de perda de rastreamento na operação de armazenagem de alto valor,3,4,Alto,Controle para mitigação de perda de rastreamento,49,2,3,Médio,Analista de Risco,Implementar melhorias no controle de perda de rastreamento,2025-06-11,Cancelado
RISK-033,Segurança Física,Vandalismo,Risco de vandalismo na operação de área externa,3,4,Alto,Controle para mitigação de vandalismo,75,1,2,Baixo,Líder de Equipe,Implementar melhorias no controle de vandalismo,2025-06-19,Em Andamento
RISK-034,Operacional,Erro de expedição,Risco de erro de expedição na operação de docas,1,5,Médio,Controle para mitigação de erro de expedição,50,1,4,Baixo,Gerente de Segurança,Implementar melhorias no controle de erro de expedição,2025-09-15,Concluído
RISK-035,Operacional,Divergência de inventário,Risco de divergência de inventário na operação de separação,3,3,Médio,Controle para mitigação de divergência de inventário,76,1,2,Baixo,Líder de Equipe,Implementar melhorias no controle de divergência de inventário,2025-08-15,Cancelado
RISK-036,Resposta,Falha de comunicação,Risco de falha de comunicação na operação de separação,1,1,Baixo,Controle para mitigação de falha de comunicação,74,1,1,Baixo,Diretor de Logística,Implementar melhorias no controle de falha de comunicação,2025-09-23,Cancelado
RISK-037,Operacional,Erro de separação,Risco de erro de separação na operação de expedição,3,4,Alto,Controle para mitigação de erro de separação,44,2,3,Médio,Líder de Equipe,Implementar melhorias no controle de erro de separação,2025-09-07,Concluído
RISK-038,Segurança Física,Vandalismo,Risco de vandalismo na operação de transporte interno,3,5,Alto,Controle para mitigação de vandalismo,95,1,3,Baixo,Gerente de Segurança,Implementar melhorias no controle de vandalismo,2025-09-23,Concluído
RISK-039,Operacional,Armazenamento inadequado,Risco de armazenamento inadequado na operação de recebimento,5,1,Médio,Controle para mitigação de armazenamento inadequado,42,3,1,Baixo,Diretor de Logística,Implementar melhorias no controle de armazenamento inadequado,2025-07-13,Não Iniciado
RISK-040,Operacional,Divergência de inventário,Risco de divergência de inventário na operação de docas,4,1,Baixo,Controle para mitigação de divergência de inventário,56,2,1,Baixo,Diretor de Logística,Implementar melhorias no controle de divergência de inventário,2025-10-16,Não Iniciado
RISK-041,Operacional,Erro de separação,Risco de erro de separação na operação de armazenagem geral,4,3,Alto,Controle para mitigação de erro de separação,34,3,2,Médio,Gerente de Segurança,Implementar melhorias no controle de erro de separação,2025-06-23,Em Andamento
